Shape;Carat;Color;Clarity;Cut;Price
Emerald;0.33;G;SI1;Ideal;409
Heart;0.30;I;VS2;Ideal;410
Heart;0.30;J;SI1;Ideal;410
Emerald;0.31;K;VVS1;Ideal;410
Emerald;0.30;G;SI2;Excellent;410
Pear;0.30;F;SI2;Ideal;410
Pear;0.30;F;SI2;Ideal;410
Emerald;0.31;F;SI1;Very Good;410
Pear;0.30;H;SI2;Ideal;412
Emerald;0.30;E;SI1;Excellent;412
Oval;0.30;J;VVS2;Ideal;412
Emerald;0.30;G;SI2;Excellent;412
Emerald;0.29;D;SI1;Excellent;412
Pear;0.30;F;SI1;Ideal;412
Pear;0.30;F;SI2;Excellent;413
Emerald;0.31;D;SI1;Ideal;413
Pear;0.30;I;SI1;Ideal;413
Emerald;0.30;E;SI1;Ideal;413
Princess;0.30;I;VS1;Ideal;413
Princess;0.30;I;VS1;Ideal;413
Emerald;0.29;D;SI1;Excellent;413
Emerald;0.30;E;SI1;Very Good;413
Pear;0.30;I;VS2;Ideal;413
Emerald;0.30;E;SI1;Excellent;413
Emerald;0.30;I;SI1;Excellent;413
Emerald;0.34;H;SI1;Good;413
Heart;0.30;G;SI2;Ideal;413
Princess;0.30;I;VVS1;Ideal;415
Emerald;0.30;D;SI2;Ideal;415
Emerald;0.30;G;SI1;Ideal;415
Marquise;0.32;I;SI1;Excellent;415
Emerald;0.30;H;SI1;Ideal;415
Radiant;0.31;J;VS1;Very Good;415
Princess;0.30;F;SI1;Ideal;415
Princess;0.31;I;VVS1;Ideal;415
Heart;0.30;G;SI2;Ideal;415
Pear;0.30;J;VS2;Ideal;415
Emerald;0.30;G;SI1;Very Good;415
Emerald;0.30;G;SI1;Excellent;415
Emerald;0.32;D;SI2;Ideal;415
Emerald;0.31;F;SI1;Excellent;415
Pear;0.31;G;SI2;Excellent;416
Emerald;0.38;K;VS1;Ideal;416
Emerald;0.31;G;SI1;Very Good;416
Oval;0.30;D;SI2;Excellent;416
Emerald;0.30;D;SI2;Very Good;416
Princess;0.30;F;SI2;Excellent;418
Princess;0.32;H;SI2;Ideal;418
Emerald;0.30;E;SI1;Excellent;418
Emerald;0.30;H;SI1;Very Good;418
Emerald;0.30;I;VS1;Very Good;418
Pear;0.30;E;SI2;Excellent;418
Emerald;0.31;J;VVS2;Very Good;418
Emerald;0.26;H;VS1;Ideal;419
Emerald;0.30;E;SI2;Very Good;419
Heart;0.30;H;SI2;Ideal;419
Emerald;0.30;D;SI2;Very Good;419
Emerald;0.30;J;VS1;Ideal;419
Heart;0.30;I;VS1;Ideal;419
Pear;0.30;J;VS1;Ideal;421
Emerald;0.30;G;SI1;Excellent;421
Emerald;0.30;G;SI2;Ideal;421
Emerald;0.32;H;SI2;Excellent;421
Emerald;0.31;J;VVS1;Ideal;421
Emerald;0.30;D;SI2;Ideal;421
Emerald;0.31;D;SI1;Ideal;421
Emerald;0.30;G;SI2;Ideal;421
Emerald;0.30;E;SI2;Excellent;421
Emerald;0.30;G;SI1;Very Good;421
Princess;0.37;K;VS1;Ideal;422
Princess;0.30;F;SI1;Ideal;422
Heart;0.30;I;VS2;Ideal;422
Pear;0.30;F;SI2;Ideal;422
Heart;0.29;F;SI1;Excellent;422
Heart;0.30;J;VVS2;Excellent;424
Emerald;0.30;H;SI1;Ideal;424
Emerald;0.37;J;VVS2;Very Good;424
Emerald;0.32;D;SI2;Very Good;424
Emerald;0.30;E;SI1;Very Good;424
Marquise;0.31;H;SI2;Very Good;424
Emerald;0.30;H;SI1;Ideal;424
Emerald;0.31;E;SI1;Good;424
Emerald;0.30;E;SI2;Excellent;424
Emerald;0.32;I;SI2;Ideal;424
Pear;0.31;E;SI2;Very Good;424
Pear;0.30;J;VS2;Ideal;424
Emerald;0.30;F;SI1;Ideal;424
Emerald;0.30;F;SI1;Very Good;425
Emerald;0.33;H;SI2;Ideal;425
Emerald;0.30;G;SI1;Excellent;425
Emerald;0.30;J;VS1;Ideal;425
Emerald;0.31;G;SI1;Excellent;425
Emerald;0.29;E;SI2;Excellent;425
Emerald;0.29;E;SI2;Ideal;425
Emerald;0.30;D;SI2;Ideal;425
Emerald;0.30;F;SI1;Ideal;425
Pear;0.35;I;VS2;Ideal;427
Pear;0.30;E;SI2;Excellent;427
Emerald;0.30;E;SI2;Ideal;427
Emerald;0.30;E;SI2;Very Good;427
Emerald;0.31;J;VVS1;Very Good;427
Princess;0.30;H;SI1;Very Good;427
Heart;0.30;G;SI2;Ideal;427
Emerald;0.33;D;SI2;Ideal;427
Pear;0.30;I;SI1;Ideal;428
Pear;0.31;F;SI2;Very Good;428
Princess;0.30;E;SI1;Ideal;428
Emerald;0.32;J;VVS2;Very Good;428
