Shape;Carat;Color;Clarity;Cut;Price
Cushion;0.90;G;VS1;Ideal;3236
Heart;1.00;H;SI2;Ideal;3236
Heart;1.01;I;SI1;Ideal;3237
Oval;0.92;I;VS2;Ideal;3239
Cushion;1.01;E;SI1;Ideal;3239
Princess;1.00;I;VS1;Very Good;3240
Radiant;0.91;G;VVS2;Excellent;3240
Pear;0.80;E;VS1;Ideal;3241
Heart;1.00;H;SI1;Excellent;3241
Emerald;1.00;H;VS1;Ideal;3241
Princess;1.00;J;VVS2;Ideal;3241
Emerald;0.90;H;VS2;Ideal;3242
Oval;1.01;G;SI2;Ideal;3242
Cushion;1.00;H;VS1;Excellent;3242
Cushion;1.01;I;VS2;Ideal;3243
Princess;1.01;I;VVS2;Excellent;3243
Pear;0.90;E;SI1;Very Good;3243
Oval;1.11;J;SI1;Ideal;3243
Emerald;0.90;H;VVS2;Ideal;3244
Heart;1.00;E;SI1;Ideal;3245
Princess;1.00;I;VS1;Very Good;3246
Emerald;1.00;I;VS1;Excellent;3248
Oval;1.00;I;SI1;Ideal;3248
Princess;1.00;G;SI1;Excellent;3249
Cushion;1.00;G;SI1;Ideal;3249
Cushion;1.02;G;VS2;Ideal;3249
Oval;0.90;F;SI1;Ideal;3249
Cushion;1.05;I;SI1;Very Good;3249
Emerald;1.01;I;SI1;Ideal;3251
Heart;1.00;H;SI1;Excellent;3251
Radiant;1.01;J;IF;Ideal;3251
Princess;1.06;J;VS1;Ideal;3252
Cushion;1.20;F;SI2;Ideal;3253
Cushion;1.01;G;VS1;Excellent;3253
Emerald;1.01;G;VS1;Good;3253
Princess;1.00;F;SI2;Ideal;3253
Heart;0.92;I;VVS1;Ideal;3253
Princess;1.01;J;VS1;Ideal;3254
Radiant;1.01;J;VS1;Ideal;3254
Princess;1.01;J;VS1;Excellent;3254
Princess;1.01;J;VS1;Ideal;3254
Pear;1.00;I;SI2;Ideal;3256
Princess;1.01;G;SI2;Ideal;3256
Heart;1.00;D;SI2;Excellent;3256
Cushion;1.01;H;VS2;Excellent;3257
Princess;1.06;F;SI2;Excellent;3257
Cushion;0.91;E;SI1;Ideal;3257
Radiant;1.18;I;SI2;Excellent;3257
Marquise;0.80;D;VS2;Ideal;3258
Cushion;1.01;G;VVS1;Excellent;3258
Oval;1.00;G;SI2;Ideal;3259
Princess;0.90;E;VS1;Good;3260
Radiant;1.00;F;SI1;Good;3260
Emerald;0.90;H;VVS2;Ideal;3260
Cushion;1.01;G;VS2;Very Good;3261
Heart;1.00;I;VS2;Ideal;3261
Cushion;1.02;E;SI1;Excellent;3262
Heart;1.00;I;VS2;Ideal;3263
Princess;1.00;E;SI2;Very Good;3263
Oval;1.00;E;SI2;Excellent;3263
Oval;1.01;H;SI2;Ideal;3265
Oval;1.01;F;SI2;Ideal;3265
Princess;1.00;H;VS2;Good;3265
Emerald;1.01;J;VVS2;Ideal;3265
Cushion;0.90;F;VS2;Ideal;3265
Cushion;1.01;I;VS1;Excellent;3266
Princess;1.00;G;SI2;Ideal;3266
Pear;1.00;D;SI2;Ideal;3266
Princess;1.01;E;SI2;Ideal;3267
Cushion;1.02;I;VVS2;Ideal;3268
Emerald;0.90;G;VS2;Ideal;3268
Cushion;1.00;G;SI1;Excellent;3268
Cushion;1.20;J;VS2;Excellent;3268
Oval;1.00;H;SI1;Excellent;3268
Princess;1.00;G;SI1;Very Good;3268
Princess;1.00;G;SI1;Very Good;3268
Cushion;1.02;E;SI1;Ideal;3268
Radiant;1.01;E;SI2;Ideal;3269
Pear;0.90;H;SI1;Ideal;3270
Oval;1.00;I;SI2;Excellent;3270
Cushion;1.02;H;VS2;Ideal;3270
Princess;1.00;D;SI2;Excellent;3270
Oval;0.81;D;VS1;Ideal;3271
Pear;0.90;F;SI1;Ideal;3271
Princess;0.90;F;SI1;Ideal;3271
Emerald;1.01;I;VS1;Ideal;3274
Princess;1.02;G;SI1;Ideal;3274
Cushion;1.01;H;VS2;Ideal;3275
Princess;1.00;I;VS1;Very Good;3275
Princess;1.04;J;VS2;Ideal;3276
Heart;1.00;I;SI1;Ideal;3277
Cushion;1.01;D;SI2;Ideal;3277
Oval;0.80;D;VS2;Ideal;3277
Princess;1.10;J;SI1;Ideal;3277
Cushion;0.90;G;VVS2;Ideal;3279
Cushion;1.00;I;VVS2;Excellent;3279
Pear;1.01;F;SI2;Ideal;3279
Oval;1.01;K;VVS1;Ideal;3279
Cushion;1.01;D;SI2;Ideal;3280
Cushion;1.03;G;SI2;Ideal;3280
Princess;1.01;H;VS2;Very Good;3280
Oval;0.90;G;SI1;Ideal;3282
Princess;1.00;H;VS2;Very Good;3282
Emerald;1.01;H;SI2;Ideal;3282
Oval;0.90;I;VVS1;Ideal;3282
Radiant;1.01;H;SI2;Ideal;3282
Oval;0.90;H;VVS1;Ideal;3282
Oval;0.90;G;SI1;Excellent;3282
Radiant;1.01;G;SI1;Ideal;3283
Heart;1.01;I;VS2;Excellent;3284
Marquise;1.00;I;SI2;Ideal;3285
Marquise;0.72;D;VS1;Excellent;3285
Oval;0.80;F;VVS2;Ideal;3285
Emerald;1.01;I;SI2;Ideal;3285
Heart;1.01;I;VS2;Ideal;3286
Princess;1.01;H;SI1;Ideal;3287
Oval;1.01;H;SI2;Ideal;3287
Emerald;0.90;G;VS2;Ideal;3288
Oval;0.90;G;VS1;Excellent;3288
Cushion;1.01;D;SI2;Excellent;3288
Heart;1.00;H;SI1;Very Good;3289
Heart;0.87;D;VS2;Very Good;3289
Princess;1.00;I;VS2;Ideal;3291
Cushion;1.20;J;VVS2;Very Good;3292
Pear;1.01;H;SI1;Ideal;3292
Pear;0.90;F;SI1;Ideal;3293
Princess;0.96;G;VS2;Very Good;3294
Radiant;1.04;J;VS2;Good;3294
Cushion;1.00;G;VS2;Very Good;3295
Princess;1.00;J;VVS1;Ideal;3295
Princess;1.02;H;SI1;Very Good;3295
Princess;0.96;F;SI1;Very Good;3296
Princess;1.01;H;SI2;Excellent;3296
Oval;1.22;K;VVS2;Ideal;3297
Oval;0.90;I;VVS2;Ideal;3298
Cushion;1.01;D;VS2;Excellent;3298
Oval;0.90;G;VS2;Excellent;3298
Cushion;1.00;I;VVS2;Ideal;3298
Oval;0.81;E;VVS1;Ideal;3298
Heart;1.00;I;VS2;Ideal;3298
Pear;1.18;J;SI2;Good;3298
Cushion;1.00;F;VS2;Very Good;3301
Emerald;1.00;F;SI2;Ideal;3301
Oval;1.00;F;SI2;Ideal;3301
Heart;1.03;E;SI1;Ideal;3301
Princess;1.01;F;SI1;Ideal;3301
Oval;1.00;D;SI2;Ideal;3301
Pear;1.01;I;SI1;Ideal;3301
Cushion;1.21;J;VS2;Ideal;3302
Emerald;0.80;E;VS1;Ideal;3302
Oval;1.11;H;SI2;Ideal;3303
Emerald;0.96;I;VS1;Ideal;3303
Pear;1.01;J;VVS2;Excellent;3304
Princess;0.91;E;VVS2;Very Good;3304
Pear;1.00;G;SI2;Ideal;3304
Asscher;0.94;F;VS1;Ideal;3305
Pear;1.00;D;SI2;Ideal;3305
Cushion;1.01;I;VVS2;Ideal;3305
Marquise;1.01;J;VS2;Ideal;3306
Pear;1.00;G;SI2;Ideal;3306
Oval;1.01;H;SI2;Ideal;3306
Cushion;1.06;J;SI2;Ideal;3306
Cushion;1.02;H;VS1;Excellent;3306
Cushion;1.01;F;VS1;Ideal;3306
Heart;1.00;E;SI2;Excellent;3308
Pear;1.12;J;VS2;Excellent;3308
Emerald;1.00;H;SI1;Ideal;3308
Cushion;1.01;I;VS2;Ideal;3309
Cushion;1.01;I;VS2;Very Good;3309
Oval;1.00;I;SI1;Ideal;3310
Cushion;0.81;E;VVS1;Ideal;3311
Princess;0.90;E;SI1;Ideal;3311
Cushion;1.07;I;SI1;Very Good;3311
Cushion;0.90;F;VS2;Ideal;3312
Princess;0.90;D;SI1;Excellent;3312
Princess;0.90;F;VS2;Excellent;3312
Heart;1.00;I;VS2;Ideal;3313
Cushion;1.01;D;VS2;Excellent;3313
Princess;1.00;I;SI1;Very Good;3314
Emerald;1.00;J;VVS1;Ideal;3314
Princess;1.00;H;SI1;Ideal;3314
Cushion;1.01;I;SI1;Ideal;3315
Pear;0.80;D;VS1;Ideal;3315
Emerald;0.81;E;IF;Ideal;3315
Emerald;0.81;D;VS1;Ideal;3315
Princess;1.01;G;SI1;Very Good;3315
Princess;1.01;J;VVS1;Ideal;3315
Marquise;1.00;I;SI2;Ideal;3315
Radiant;0.90;H;VVS1;Ideal;3315
Cushion;0.91;F;VS1;Ideal;3317
Marquise;1.00;I;SI2;Ideal;3317
Cushion;1.00;H;SI1;Ideal;3318
Cushion;1.00;H;VS2;Ideal;3318
Princess;0.90;D;VS2;Excellent;3319
Cushion;1.10;J;VVS2;Ideal;3319
Cushion;1.02;D;SI2;Excellent;3321
Cushion;1.01;I;VS2;Excellent;3321
Cushion;1.21;J;SI1;Excellent;3322
Heart;1.00;F;SI1;Ideal;3322
Pear;1.00;E;SI2;Excellent;3322
Emerald;1.00;F;SI1;Ideal;3322
Cushion;1.01;H;VVS2;Very Good;3322
Cushion;1.01;E;SI1;Very Good;3322
Princess;1.01;F;SI1;Excellent;3322
Cushion;1.20;J;VS2;Excellent;3323
Cushion;1.02;I;VVS1;Ideal;3323
Princess;1.00;H;VS1;Very Good;3323
Oval;1.00;I;SI2;Ideal;3323
Emerald;0.90;F;SI1;Ideal;3323
Pear;0.80;D;VS1;Excellent;3324
Pear;1.00;I;VS2;Ideal;3326
Pear;0.80;D;VVS2;Ideal;3326
Radiant;0.99;I;SI1;Excellent;3326
Heart;1.00;I;VS2;Ideal;3327
Cushion;0.90;F;VS1;Excellent;3328
Emerald;1.20;I;SI2;Ideal;3328
Cushion;1.01;G;VS2;Ideal;3328
Oval;1.00;E;SI2;Very Good;3328
Princess;1.00;H;SI2;Ideal;3329
Princess;1.01;I;VS1;Very Good;3329
Cushion;1.01;E;SI1;Excellent;3329
Emerald;0.90;H;IF;Ideal;3329
Cushion;1.00;G;SI2;Excellent;3329
Oval;1.00;I;SI1;Ideal;3330
Radiant;1.00;F;SI2;Very Good;3330
Princess;1.02;H;VS2;Excellent;3330
Heart;1.00;G;SI1;Ideal;3330
Oval;1.00;D;SI2;Ideal;3331
Cushion;1.01;I;VVS2;Ideal;3331
Heart;1.00;I;VS2;Ideal;3332
Princess;1.01;G;SI1;Ideal;3332
Cushion;1.00;F;VS2;Excellent;3334
Radiant;1.01;F;SI1;Ideal;3334
Cushion;1.00;I;VS1;Ideal;3335
Princess;1.00;I;VS1;Very Good;3335
Radiant;1.20;K;VVS2;Ideal;3336
Pear;0.90;E;SI1;Ideal;3336
Cushion;0.90;E;VS1;Ideal;3336
Cushion;1.01;I;VS1;Ideal;3336
Heart;1.01;J;VS1;Excellent;3337
Heart;1.01;F;SI2;Ideal;3337
Oval;1.00;I;SI2;Excellent;3337
Heart;1.01;I;VS2;Excellent;3337
Cushion;0.90;G;VS1;Ideal;3338
Heart;1.01;I;VS2;Ideal;3339
Emerald;0.91;F;VS2;Excellent;3339
Cushion;1.09;J;VVS1;Excellent;3340
Cushion;1.00;H;VS2;Ideal;3340
Cushion;1.00;F;SI1;Excellent;3341
Emerald;0.90;G;VS1;Ideal;3341
Princess;1.01;H;SI1;Ideal;3341
Heart;1.01;H;SI1;Ideal;3341
Princess;1.01;H;SI1;Ideal;3341
Oval;1.00;H;SI2;Ideal;3341
Asscher;0.90;D;VS2;Ideal;3343
Heart;1.00;F;SI2;Excellent;3343
Princess;1.01;H;VS2;Ideal;3343
Cushion;1.03;G;SI2;Ideal;3344
Oval;0.96;F;SI1;Excellent;3344
Emerald;0.70;D;IF;Ideal;3344
Cushion;1.32;K;VS2;Excellent;3345
Radiant;0.90;G;SI1;Excellent;3346
Oval;0.96;G;SI1;Ideal;3346
Princess;1.01;I;SI1;Ideal;3347
Princess;0.80;D;VVS2;Ideal;3347
Cushion;1.02;F;SI1;Ideal;3347
Radiant;1.00;H;SI2;Ideal;3348
Marquise;1.00;I;SI2;Ideal;3348
Cushion;1.01;G;SI1;Very Good;3348
Oval;1.00;I;SI1;Ideal;3348
Cushion;1.01;J;VVS1;Ideal;3348
Emerald;0.90;H;VS1;Ideal;3349
Cushion;0.90;G;VVS2;Excellent;3349
Cushion;1.02;G;VS2;Ideal;3349
Emerald;0.91;F;VS1;Excellent;3350
Princess;1.00;I;VVS1;Very Good;3350
Emerald;0.90;G;VS1;Ideal;3352
Oval;1.10;K;VVS2;Ideal;3352
Princess;1.00;I;VS1;Very Good;3352
Princess;1.00;I;VS1;Very Good;3352
Princess;1.01;D;SI2;Excellent;3353
Emerald;0.90;G;VS2;Ideal;3353
Radiant;1.01;J;VS1;Ideal;3353
Oval;1.00;I;VS1;Ideal;3353
Heart;1.00;F;SI1;Excellent;3353
Pear;1.01;D;SI2;Good;3353
Princess;1.10;J;VS1;Ideal;3356
Oval;1.06;H;SI2;Very Good;3357
Cushion;1.06;I;VVS2;Ideal;3358
Emerald;1.00;H;SI2;Ideal;3359
Cushion;1.01;D;SI1;Excellent;3359
Pear;0.82;D;VS2;Ideal;3359
Cushion;1.01;D;SI1;Very Good;3360
Pear;1.03;E;SI2;Ideal;3361
Pear;1.00;G;SI2;Excellent;3361
Princess;1.01;I;VS1;Ideal;3361
Pear;1.00;J;VS1;Excellent;3361
Princess;1.00;I;VS1;Excellent;3361
Pear;1.01;F;SI2;Excellent;3362
Cushion;1.02;J;VVS1;Ideal;3362
Cushion;1.01;I;VVS1;Excellent;3362
Cushion;1.02;I;VS1;Ideal;3362
Cushion;0.91;E;VVS1;Ideal;3362
Cushion;1.00;F;VVS2;Excellent;3362
Cushion;1.00;G;VS2;Excellent;3362
Pear;1.00;F;SI2;Ideal;3362
Oval;1.00;I;SI2;Ideal;3363
Oval;1.00;D;SI2;Ideal;3363
Oval;1.00;D;SI2;Ideal;3363
Princess;1.00;H;VS2;Good;3363
Pear;1.00;D;SI2;Very Good;3363
Princess;1.20;J;SI2;Excellent;3363
Oval;1.20;K;VS1;Ideal;3364
Emerald;0.81;D;VVS1;Ideal;3364
Princess;1.00;F;SI1;Ideal;3364
Emerald;0.96;H;VS2;Very Good;3364
Oval;0.90;D;VS2;Very Good;3365
Emerald;1.00;G;SI1;Ideal;3366
Princess;1.00;G;SI1;Very Good;3366
Princess;1.00;G;SI1;Very Good;3366
Pear;0.90;H;VVS1;Excellent;3366
Pear;0.90;G;SI1;Ideal;3366
Emerald;1.02;E;SI1;Ideal;3367
Heart;1.01;E;SI2;Ideal;3367
Emerald;0.90;F;VS1;Ideal;3367
Princess;1.00;E;SI1;Very Good;3367
Heart;1.00;I;VS2;Ideal;3367
Princess;1.01;G;SI1;Excellent;3368
Radiant;1.01;H;SI2;Excellent;3368
Asscher;1.01;H;VS2;Excellent;3369
Cushion;0.96;D;VS1;Excellent;3369
Emerald;0.91;G;VS2;Ideal;3369
Princess;0.96;G;SI1;Ideal;3369
Heart;1.00;F;SI1;Ideal;3369
Princess;1.00;I;VS2;Excellent;3370
Oval;0.90;G;VS2;Ideal;3370
Asscher;1.01;J;VVS2;Ideal;3370
Emerald;1.00;D;SI1;Ideal;3370
Princess;1.01;I;SI1;Ideal;3371
Marquise;1.01;I;SI1;Ideal;3371
Pear;0.92;H;SI1;Ideal;3371
Emerald;1.01;J;VVS2;Ideal;3371
Princess;1.01;J;VVS2;Ideal;3371
Emerald;1.00;I;VS2;Ideal;3372
Cushion;1.01;I;VS2;Ideal;3372
Heart;0.92;D;SI1;Excellent;3372
Princess;0.96;H;VS2;Ideal;3372
Cushion;0.90;E;VS1;Ideal;3372
Cushion;0.91;F;VS1;Excellent;3372
Cushion;0.80;E;IF;Ideal;3372
Cushion;1.01;H;SI1;Ideal;3372
Emerald;1.01;G;VS2;Very Good;3373
Oval;1.00;H;SI2;Ideal;3373
Pear;0.90;F;SI2;Ideal;3373
Pear;0.90;F;SI2;Ideal;3373
Princess;1.20;J;SI2;Excellent;3373
Cushion;1.00;E;VS2;Excellent;3373
Pear;1.00;J;VVS2;Ideal;3373
Princess;1.00;G;SI2;Ideal;3373
Cushion;1.01;H;VS1;Ideal;3373
Cushion;1.06;G;VS1;Ideal;3373
Emerald;1.01;G;VS2;Excellent;3373
Cushion;1.01;D;SI1;Excellent;3374
Princess;0.96;G;SI1;Ideal;3374
Cushion;1.00;E;VS2;Ideal;3375
Heart;1.00;E;SI1;Excellent;3375
Radiant;0.90;H;VS1;Excellent;3376
Radiant;1.00;E;SI1;Good;3376
Emerald;1.00;G;SI1;Ideal;3376
Pear;1.20;I;SI2;Ideal;3376
Emerald;1.20;K;VS1;Ideal;3376
Marquise;0.92;G;SI1;Excellent;3376
Emerald;0.90;G;VS2;Ideal;3376
Princess;1.00;I;VVS2;Very Good;3377
Princess;1.01;G;SI2;Excellent;3377
Emerald;1.01;I;VS1;Ideal;3377
Oval;1.01;I;SI2;Ideal;3378
Heart;1.00;J;VS1;Ideal;3378
Princess;0.91;H;VS2;Ideal;3378
Princess;0.90;H;VVS2;Ideal;3379
Cushion;1.00;I;VS1;Excellent;3379
Oval;1.01;J;VS1;Ideal;3379
Heart;1.01;E;SI2;Ideal;3379
Radiant;1.01;E;SI1;Good;3379
Oval;1.01;E;SI1;Ideal;3380
Oval;0.80;D;VS1;Excellent;3380
Princess;1.01;I;VVS2;Very Good;3380
Emerald;1.01;E;SI1;Ideal;3380
Princess;1.00;I;VVS1;Very Good;3381
Marquise;1.00;J;VVS2;Ideal;3381
Oval;0.90;G;SI1;Ideal;3381
Princess;1.02;E;SI2;Very Good;3382
Radiant;1.02;E;SI2;Ideal;3382
Princess;1.00;E;SI2;Ideal;3382
Cushion;1.01;E;VS2;Ideal;3382
Pear;1.01;I;SI1;Ideal;3382
Cushion;1.00;H;VVS1;Excellent;3382
Radiant;1.00;I;VS2;Ideal;3382
Cushion;1.20;H;SI2;Ideal;3383
Emerald;0.97;H;VS2;Ideal;3383
Emerald;1.00;I;VS1;Ideal;3383
Heart;1.01;I;VS2;Excellent;3384
Oval;1.00;H;SI1;Ideal;3384
Princess;1.00;E;SI2;Excellent;3384
Emerald;0.90;D;VVS1;Ideal;3384
Emerald;1.03;H;SI2;Excellent;3384
Heart;0.70;D;VVS1;Ideal;3384
Princess;0.97;F;VS2;Excellent;3384
Cushion;1.04;J;VVS1;Ideal;3384
Oval;1.00;I;VS2;Ideal;3384
Princess;1.00;H;VS2;Good;3384
Emerald;1.00;G;SI2;Excellent;3385
Cushion;1.01;D;VVS2;Very Good;3385
Emerald;0.91;H;VS1;Ideal;3385
Emerald;1.05;E;SI2;Ideal;3386
Heart;1.00;I;VS2;Excellent;3386
Pear;1.00;J;VS1;Excellent;3386
Oval;1.00;F;SI2;Ideal;3387
Princess;1.02;J;VS1;Ideal;3387
Pear;1.00;F;SI2;Ideal;3387
Princess;1.01;G;SI1;Ideal;3387
Asscher;1.03;I;SI1;Excellent;3387
Cushion;1.00;F;VS2;Ideal;3387
Oval;1.01;I;SI1;Ideal;3387
Emerald;1.01;I;VVS1;Excellent;3387
Heart;1.00;E;SI2;Ideal;3388
Radiant;1.04;G;VS1;Good;3388
Pear;1.00;I;SI1;Ideal;3388
Cushion;0.90;D;VVS1;Ideal;3388
Oval;1.00;D;SI2;Ideal;3388
Oval;0.96;H;SI2;Excellent;3388
Oval;1.03;K;VVS1;Ideal;3389
Cushion;1.00;G;SI2;Ideal;3389
Emerald;0.92;E;VVS2;Ideal;3389
Cushion;1.01;I;VS2;Ideal;3389
Cushion;1.00;H;VVS1;Good;3389
Cushion;0.93;F;VS1;Ideal;3389
Pear;1.15;E;SI2;Good;3389
Princess;1.00;I;VS1;Very Good;3389
Princess;0.80;D;VS1;Ideal;3389
Cushion;1.01;H;VS2;Excellent;3389
Emerald;1.00;F;SI1;Ideal;3389
Heart;1.00;F;SI1;Ideal;3390
Oval;1.01;J;VS1;Ideal;3390
Emerald;0.90;G;VS2;Ideal;3390
Emerald;0.80;E;VVS2;Ideal;3390
Oval;1.01;I;VS2;Excellent;3390
Radiant;1.01;J;VVS2;Ideal;3391
Princess;1.00;F;SI1;Excellent;3391
Princess;1.01;I;SI1;Very Good;3391
Princess;1.01;J;VVS2;Ideal;3391
Princess;1.01;J;VVS2;Ideal;3391
Emerald;1.01;H;VVS1;Very Good;3392
Oval;1.01;I;VS2;Ideal;3392
Emerald;1.01;H;VVS1;Good;3392
Princess;1.00;I;IF;Very Good;3392
Cushion;0.91;F;VVS1;Ideal;3394
Princess;1.01;I;SI1;Ideal;3394
Princess;1.01;I;SI1;Ideal;3394
Emerald;1.01;J;VVS1;Ideal;3394
Cushion;1.00;E;VS1;Excellent;3394
Oval;1.00;D;SI2;Ideal;3394
Emerald;0.93;D;VS1;Ideal;3395
Princess;0.90;G;VS1;Ideal;3395
Cushion;1.01;D;SI1;Very Good;3396
Cushion;1.13;J;VS2;Excellent;3396
Cushion;1.21;J;VS2;Ideal;3397
Cushion;0.90;F;SI1;Very Good;3397
Princess;1.00;G;SI1;Very Good;3397
Princess;1.07;J;VS1;Ideal;3397
Princess;1.00;G;SI2;Ideal;3397
Emerald;0.90;F;VS1;Excellent;3398
Oval;1.00;J;VVS2;Ideal;3399
Oval;1.00;H;SI1;Excellent;3400
Cushion;1.00;H;VS1;Excellent;3400
Princess;1.01;D;SI2;Ideal;3401
Cushion;1.02;F;SI1;Ideal;3401
Princess;1.01;J;VVS2;Ideal;3403
Princess;1.00;I;VS1;Very Good;3403
Radiant;1.20;J;SI1;Ideal;3403
Cushion;1.01;I;VVS2;Ideal;3404
Radiant;1.01;I;SI2;Ideal;3404
Cushion;1.01;G;VVS1;Excellent;3404
Heart;1.00;D;SI1;Ideal;3405
Cushion;1.01;I;VVS2;Ideal;3405
Cushion;1.01;I;VS1;Ideal;3405
Pear;1.01;D;SI2;Ideal;3406
Oval;0.90;I;VVS1;Ideal;3407
Cushion;1.02;F;SI1;Excellent;3407
Pear;1.01;H;SI2;Ideal;3407
Oval;1.00;F;SI1;Ideal;3407
Princess;0.80;D;VVS2;Excellent;3407
Oval;1.00;G;SI2;Ideal;3408
Oval;1.01;D;SI2;Ideal;3408
Princess;1.00;I;VS2;Excellent;3408
Princess;1.01;I;SI1;Ideal;3409
Pear;1.00;E;SI2;Ideal;3410
Princess;1.00;E;SI1;Excellent;3410
Cushion;1.00;G;SI1;Ideal;3410
Oval;1.00;H;SI2;Ideal;3412
Heart;0.90;G;VS1;Ideal;3412
Asscher;1.01;E;VS2;Ideal;3413
Oval;1.00;H;SI1;Ideal;3413
Oval;1.02;G;SI2;Ideal;3414
Emerald;1.00;D;SI1;Ideal;3415
Emerald;0.80;D;VVS1;Ideal;3416
Princess;1.00;G;SI1;Good;3416
Cushion;1.01;F;SI2;Ideal;3416
Cushion;1.01;G;SI1;Excellent;3417
Cushion;0.90;G;VS2;Ideal;3417
Cushion;1.01;I;VVS1;Ideal;3417
Princess;1.00;H;SI1;Ideal;3417
Oval;1.00;D;SI2;Ideal;3417
Princess;1.00;F;SI1;Excellent;3418
Cushion;1.01;D;VS1;Very Good;3418
Cushion;1.21;J;SI1;Excellent;3419
Oval;1.01;I;VS2;Very Good;3419
Cushion;1.01;G;VS2;Very Good;3419
Pear;1.00;I;SI1;Excellent;3420
Emerald;1.02;H;SI2;Ideal;3420
Princess;1.01;I;VS1;Excellent;3420
Cushion;1.02;H;VS2;Ideal;3420
Asscher;1.01;I;VS1;Ideal;3422
Cushion;1.01;E;SI1;Excellent;3422
Princess;1.01;F;SI2;Ideal;3422
Princess;1.00;H;VS2;Excellent;3422
Pear;1.00;E;SI2;Excellent;3422
Cushion;1.00;F;SI1;Ideal;3424
Emerald;1.00;F;SI1;Ideal;3424
Cushion;1.02;E;SI1;Ideal;3425
Princess;1.00;I;SI1;Ideal;3425
Cushion;1.01;E;VS2;Excellent;3425
Oval;1.00;D;SI2;Ideal;3425
Princess;1.00;I;VS1;Very Good;3426
Princess;0.90;G;VVS1;Excellent;3426
Heart;0.92;D;SI1;Ideal;3426
Emerald;1.00;G;SI1;Ideal;3426
Heart;1.01;J;VS1;Ideal;3427
Cushion;1.00;H;SI2;Ideal;3427
Heart;1.00;D;SI1;Ideal;3427
Pear;1.00;H;SI2;Ideal;3427
Cushion;0.86;G;VS1;Excellent;3428
Princess;1.00;H;VS1;Good;3428
Pear;0.90;H;VS1;Ideal;3428
Cushion;1.01;G;VS2;Excellent;3428
Oval;0.81;F;IF;Ideal;3429
Cushion;1.02;D;SI1;Ideal;3429
Emerald;0.91;E;VS1;Ideal;3429
Princess;1.00;I;VS1;Very Good;3431
Cushion;1.08;I;VVS1;Very Good;3431
Cushion;1.01;F;VVS2;Very Good;3432
Cushion;1.01;H;VVS2;Ideal;3433
Princess;1.20;K;VS1;Excellent;3433
Oval;1.03;I;SI2;Ideal;3434
Princess;1.01;H;SI1;Ideal;3434
Cushion;1.02;G;SI1;Excellent;3434
Cushion;0.80;D;VVS2;Ideal;3434
Cushion;1.00;I;VVS2;Excellent;3435
Heart;1.00;E;SI1;Excellent;3435
Cushion;1.00;I;VVS2;Excellent;3435
Radiant;0.90;E;VS1;Ideal;3435
Princess;1.02;G;VS1;Good;3435
Oval;1.00;G;SI2;Excellent;3435
Oval;1.01;I;SI1;Ideal;3435
Pear;1.00;E;SI2;Excellent;3436
Heart;1.01;I;VS2;Ideal;3436
Princess;1.05;J;VVS2;Ideal;3436
Princess;1.00;H;VS2;Good;3437
Pear;0.90;G;SI1;Ideal;3437
Princess;1.00;H;SI1;Ideal;3437
Heart;1.00;E;SI1;Ideal;3440
Emerald;1.00;G;VS2;Excellent;3440
Emerald;0.99;E;SI2;Ideal;3441
Pear;0.90;D;SI1;Ideal;3441
Heart;1.00;E;SI1;Ideal;3442
Cushion;1.00;F;SI1;Very Good;3442
Radiant;1.01;F;SI1;Ideal;3442
Cushion;1.01;I;VVS2;Ideal;3442
Oval;1.00;E;SI2;Ideal;3443
Oval;1.00;D;SI2;Excellent;3443
Pear;1.01;I;SI1;Ideal;3443
Oval;1.00;D;SI2;Very Good;3443
Princess;1.00;I;VS2;Ideal;3444
Emerald;1.02;I;IF;Ideal;3444
Princess;1.20;J;SI1;Very Good;3445
Radiant;0.91;E;SI1;Excellent;3446
Cushion;1.08;D;SI1;Ideal;3447
Cushion;1.00;G;VVS1;Excellent;3447
Cushion;1.21;H;SI1;Excellent;3447
Cushion;1.11;H;SI2;Ideal;3447
Princess;1.01;H;SI1;Ideal;3448
Princess;0.80;D;VS1;Ideal;3448
Princess;1.00;H;VS2;Excellent;3448
Oval;1.00;I;SI1;Ideal;3448
Marquise;1.00;G;SI2;Ideal;3450
Cushion;1.03;I;SI1;Ideal;3450
Emerald;1.01;I;VS1;Ideal;3451
Emerald;1.01;H;VS2;Ideal;3451
Cushion;1.00;G;VS1;Excellent;3451
Heart;1.01;D;SI2;Very Good;3451
Cushion;1.01;H;VS2;Ideal;3451
Heart;1.00;E;SI2;Ideal;3451
Princess;1.01;H;VS2;Good;3451
Radiant;1.01;G;SI1;Ideal;3451
Emerald;1.00;H;VS1;Excellent;3452
Cushion;1.00;H;VVS2;Excellent;3452
Emerald;1.00;F;SI1;Ideal;3453
Asscher;1.01;J;VVS2;Ideal;3453
Emerald;1.03;F;SI2;Ideal;3453
Princess;1.01;J;VS1;Ideal;3453
Oval;0.90;H;VS2;Ideal;3453
Oval;1.00;I;SI1;Ideal;3454
Princess;1.00;H;VS2;Very Good;3455
Princess;1.05;J;VS1;Ideal;3455
Emerald;1.01;I;SI1;Ideal;3456
Cushion;1.00;H;VVS1;Excellent;3457
Princess;1.00;I;VS1;Ideal;3457
Emerald;0.90;F;VS2;Ideal;3459
Princess;0.90;G;VVS2;Ideal;3459
